Common Name,Scientific Name
Common Ostrich,Struthio camelus
Emu,Dromaius novaehollandiae
White-faced Whistling-Duck,Dendrocygna viduata
Black-bellied Whistling-Duck,Dendrocygna autumnalis
Fulvous Whistling-Duck,Dendrocygna bicolor
White-backed Duck,Thalassornis leuconotus
Bar-headed Goose,Anser indicus
Graylag Goose,Anser anser
Mute Swan,Cygnus olor
Black Swan,Cygnus atratus
Knob-billed Duck,Sarkidiornis melanotos
Egyptian Goose,Alopochen aegyptiaca
South African Shelduck,Tadorna cana
Common Shelduck,Tadorna tadorna
Spur-winged Goose,Plectropterus gambensis
Muscovy Duck,Cairina moschata
African Pygmy-Goose,Nettapus auritus
Ringed Teal,Callonetta leucophrys
Wood Duck,Aix sponsa
Mandarin Duck,Aix galericulata
Blue-billed Teal,Spatula hottentota
Cape Shoveler,Spatula smithii
Northern Shoveler,Spatula clypeata
African Black Duck,Anas sparsa
Yellow-billed Duck,Anas undulata
Mallard,Anas platyrhynchos
Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos
African Black Duck x Mallard (hybrid),Anas sparsa x platyrhynchos
Yellow-billed Duck x Mallard (hybrid),Anas undulata x platyrhynchos
Cape Teal,Anas capensis
Red-billed Duck,Anas erythrorhyncha
Northern Pintail,Anas acuta
Red-crested Pochard,Netta rufina
Southern Pochard,Netta erythrophthalma
Ruddy Duck,Oxyura jamaicensis
White-headed Duck,Oxyura leucocephala
Maccoa Duck,Oxyura maccoa
Helmeted Guineafowl,Numida meleagris
Southern Crested Guineafowl,Guttera edouardi
Wild Turkey,Meleagris gallopavo
Indian Peafowl,Pavo cristatus
Red Junglefowl,Gallus gallus
Crested Francolin,Ortygornis sephaena
Coqui Francolin,Campocolinus coqui
Red-winged Francolin,Scleroptila levaillantii
Gray-winged Francolin,Scleroptila afra
Orange River Francolin,Scleroptila gutturalis
Shelley's Francolin,Scleroptila shelleyi
Common Quail,Coturnix coturnix
Harlequin Quail,Coturnix delegorguei
Chukar,Alectoris chukar
Red-billed Spurfowl,Pternistis adspersus
Cape Spurfowl,Pternistis capensis
Natal Spurfowl,Pternistis natalensis
Swainson's Spurfowl,Pternistis swainsonii
Red-necked Spurfowl,Pternistis afer
Rock Pigeon,Columba livia
Speckled Pigeon,Columba guinea
Rameron Pigeon,Columba arquatrix
Eastern Bronze-naped Pigeon,Columba delegorguei
Lemon Dove,Aplopelia larvata
European Turtle-Dove,Streptopelia turtur
Mourning Collared-Dove,Streptopelia decipiens
Red-eyed Dove,Streptopelia semitorquata
Ring-necked Dove,Streptopelia capicola
Laughing Dove,Spilopelia senegalensis
Emerald-spotted Wood-Dove,Turtur chalcospilos
Blue-spotted Wood-Dove,Turtur afer
Tambourine Dove,Turtur tympanistria
Namaqua Dove,Oena capensis
African Green-Pigeon,Treron calvus
Namaqua Sandgrouse,Pterocles namaqua
Yellow-throated Sandgrouse,Pterocles gutturalis
Double-banded Sandgrouse,Pterocles bicinctus
Burchell's Sandgrouse,Pterocles burchelli
Kori Bustard,Ardeotis kori
Ludwig's Bustard,Neotis ludwigii
Denham's Bustard,Neotis denhami
White-bellied Bustard,Eupodotis senegalensis
Blue Bustard,Eupodotis caerulescens
Karoo Bustard,Heterotetrax vigorsii
Red-crested Bustard,Lophotis ruficrista
Black Bustard,Afrotis afra
White-quilled Bustard,Afrotis afraoides
Black-bellied Bustard,Lissotis melanogaster
Gray Go-away-bird,Crinifer concolor
Purple-crested Turaco,Gallirex porphyreolophus
Violet Turaco,Tauraco violaceus
Livingstone's Turaco,Tauraco livingstonii
Knysna Turaco,Tauraco corythaix
Senegal Coucal,Centropus senegalensis
Burchell's Coucal,Centropus burchellii
Black Coucal,Centropus grillii
Green Malkoha,Ceuthmochares australis
Great Spotted Cuckoo,Clamator glandarius
Levaillant's Cuckoo,Clamator levaillantii
Pied Cuckoo,Clamator jacobinus
Thick-billed Cuckoo,Pachycoccyx audeberti
Dideric Cuckoo,Chrysococcyx caprius
Klaas's Cuckoo,Chrysococcyx klaas
African Emerald Cuckoo,Chrysococcyx cupreus
Barred Long-tailed Cuckoo,Cercococcyx montanus
Black Cuckoo,Cuculus clamosus
Red-chested Cuckoo,Cuculus solitarius
Lesser Cuckoo,Cuculus poliocephalus
African Cuckoo,Cuculus gularis
Madagascar Cuckoo,Cuculus rochii
Common Cuckoo,Cuculus canorus
Pennant-winged Nightjar,Caprimulgus vexillarius
Eurasian Nightjar,Caprimulgus europaeus
Rufous-cheeked Nightjar,Caprimulgus rufigena
Fiery-necked Nightjar,Caprimulgus pectoralis
Swamp Nightjar,Caprimulgus natalensis
Freckled Nightjar,Caprimulgus tristigma
Square-tailed Nightjar,Caprimulgus fossii
Mottled Spinetail,Telacanthura ussheri
Bat-like Spinetail,Neafrapus boehmi
Alpine Swift,Tachymarptis melba
Common Swift,Apus apus
African Swift,Apus barbatus
Bradfield's Swift,Apus bradfieldi
Little Swift,Apus affinis
Horus Swift,Apus horus
White-rumped Swift,Apus caffer
African Palm Swift,Cypsiurus parvus
Buff-spotted Flufftail,Sarothrura elegans
Red-chested Flufftail,Sarothrura rufa
Streaky-breasted Flufftail,Sarothrura boehmi
Striped Flufftail,Sarothrura affinis
White-winged Flufftail,Sarothrura ayresi
African Rail,Rallus caerulescens
Corn Crake,Crex crex
African Crake,Crecopsis egregia
Spotted Crake,Porzana porzana
Lesser Moorhen,Paragallinula angulata
Eurasian Moorhen,Gallinula chloropus
Red-knobbed Coot,Fulica cristata
Allen's Gallinule,Porphyrio alleni
Purple Gallinule,Porphyrio martinica
African Swamphen,Porphyrio madagascariensis
White-breasted Waterhen,Amaurornis phoenicurus
Striped Crake,Aenigmatolimnas marginalis
Black Crake,Zapornia flavirostra
Little Crake,Zapornia parva
Baillon's Crake,Zapornia pusilla
African Finfoot,Podica senegalensis
Gray Crowned-Crane,Balearica regulorum
Wattled Crane,Grus carunculatus
Blue Crane,Grus paradiseus
Black-faced Sheathbill,Chionis minor
Snowy Sheathbill,Chionis albus
Spotted Thick-knee,Burhinus capensis
Water Thick-knee,Burhinus vermiculatus
Black-winged Stilt,Himantopus himantopus
Pied Avocet,Recurvirostra avosetta
Eurasian Oystercatcher,Haematopus ostralegus
African Oystercatcher,Haematopus moquini
Black-bellied Plover,Pluvialis squatarola
American Golden-Plover,Pluvialis dominica
Pacific Golden-Plover,Pluvialis fulva
Common Ringed Plover,Charadrius hiaticula
Three-banded Plover,Thinornis tricollaris
Little Ringed Plover,Thinornis dubius
Long-toed Lapwing,Vanellus crassirostris
Blacksmith Lapwing,Vanellus armatus
Spur-winged Lapwing,Vanellus spinosus
White-crowned Lapwing,Vanellus albiceps
Blacksmith x White-crowned Lapwing (hybrid),Vanellus armatus x albiceps
Senegal Lapwing,Vanellus lugubris
Black-winged Lapwing,Vanellus melanopterus
Crowned Lapwing,Vanellus coronatus
Wattled Lapwing,Vanellus senegallus
Caspian Plover,Anarhynchus asiaticus
Tibetan Sand-Plover,Anarhynchus atrifrons
Greater Sand-Plover,Anarhynchus leschenaultii
Kittlitz's Plover,Anarhynchus pecuarius
Chestnut-banded Plover,Anarhynchus pallidus
White-fronted Plover,Anarhynchus marginatus
Greater Painted-Snipe,Rostratula benghalensis
Lesser Jacana,Microparra capensis
African Jacana,Actophilornis africanus
Upland Sandpiper,Bartramia longicauda
Eurasian Whimbrel,Numenius phaeopus
Eurasian Curlew,Numenius arquata
Bar-tailed Godwit,Limosa lapponica
Black-tailed Godwit,Limosa limosa
Hudsonian Godwit,Limosa haemastica
Asian Dowitcher,Limnodromus semipalmatus
Great Snipe,Gallinago media
African Snipe,Gallinago nigripennis
Wilson's Phalarope,Phalaropus tricolor
Red Phalarope,Phalaropus fulicarius
Red-necked Phalarope,Phalaropus lobatus
Terek Sandpiper,Xenus cinereus
Common Sandpiper,Actitis hypoleucos
Green Sandpiper,Tringa ochropus
Marsh Sandpiper,Tringa stagnatilis
Wood Sandpiper,Tringa glareola
Common Redshank,Tringa totanus
Lesser Yellowlegs,Tringa flavipes
Spotted Redshank,Tringa erythropus
Common Greenshank,Tringa nebularia
Ruddy Turnstone,Arenaria interpres
Great Knot,Calidris tenuirostris
Red Knot,Calidris canutus
Ruff,Calidris pugnax
Broad-billed Sandpiper,Calidris falcinellus
Sharp-tailed Sandpiper,Calidris acuminata
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Red-necked Stint,Calidris ruficollis
Buff-breasted Sandpiper,Calidris subruficollis
Sanderling,Calidris alba
Dunlin,Calidris alpina
Baird's Sandpiper,Calidris bairdii
Little Stint,Calidris minuta
White-rumped Sandpiper,Calidris fuscicollis
Pectoral Sandpiper,Calidris melanotos
Small Buttonquail,Turnix sylvaticus
Black-rumped Buttonquail,Turnix nanus
Fynbos Buttonquail,Turnix hottentottus
Crab-Plover,Dromas ardeola
Double-banded Courser,Smutsornis africanus
Bronze-winged Courser,Rhinoptilus chalcopterus
Three-banded Courser,Rhinoptilus cinctus
Temminck's Courser,Cursorius temminckii
Burchell's Courser,Cursorius rufus
Rock Pratincole,Glareola nuchalis
Collared Pratincole,Glareola pratincola
Black-winged Pratincole,Glareola nordmanni
Long-tailed Jaeger,Stercorarius longicaudus
Parasitic Jaeger,Stercorarius parasiticus
Pomarine Jaeger,Stercorarius pomarinus
Brown Skua,Stercorarius antarcticus
South Polar Skua,Stercorarius maccormicki
Sabine's Gull,Xema sabini
Black-headed Gull,Chroicocephalus ridibundus
Gray-hooded Gull,Chroicocephalus cirrocephalus
Hartlaub's Gull,Chroicocephalus hartlaubii
Gray-hooded x Hartlaub's Gull (hybrid),Chroicocephalus cirrocephalus x hartlaubii
Laughing Gull,Leucophaeus atricilla
Franklin's Gull,Leucophaeus pipixcan
Sooty Gull,Ichthyaetus hemprichii
Kelp Gull,Larus dominicanus
Lesser Black-backed Gull,Larus fuscus
African Skimmer,Rynchops flavirostris
Black Skimmer,Rynchops niger
Lesser Noddy,Anous tenuirostris
Sooty Tern,Onychoprion fuscatus
Bridled Tern,Onychoprion anaethetus
Little Tern,Sternula albifrons
Saunders's Tern,Sternula saundersi
Damara Tern,Sternula balaenarum
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Whiskered Tern,Chlidonias hybrida
Black Tern,Chlidonias niger
White-winged Tern,Chlidonias leucopterus
Arctic Tern,Sterna paradisaea
Antarctic Tern,Sterna vittata
Kerguelen Tern,Sterna virgata
Common Tern,Sterna hirundo
White-cheeked Tern,Sterna repressa
Black-naped Tern,Sterna sumatrana
Roseate Tern,Sterna dougallii
Sandwich Tern,Thalasseus sandvicensis
Elegant Tern,Thalasseus elegans
Sandwich x Elegant Tern (hybrid),Thalasseus sandvicensis x elegans
Lesser Crested Tern,Thalasseus bengalensis
Great Crested Tern,Thalasseus bergii
Greater Flamingo,Phoenicopterus roseus
Lesser Flamingo,Phoeniconaias minor
Little Grebe,Tachybaptus ruficollis
Great Crested Grebe,Podiceps cristatus
Eared Grebe,Podiceps nigricollis
Red-tailed Tropicbird,Phaethon rubricauda
King Penguin,Aptenodytes patagonicus
Gentoo Penguin,Pygoscelis papua
African Penguin,Spheniscus demersus
Macaroni Penguin,Eudyptes chrysolophus
Eastern Rockhopper Penguin,Eudyptes filholi
Moseley's Rockhopper Penguin,Eudyptes moseleyi
Northern Royal Albatross,Diomedea sanfordi
Southern Royal Albatross,Diomedea epomophora
Snowy Albatross,Diomedea exulans
Tristan Albatross,Diomedea dabbenena
Sooty Albatross,Phoebetria fusca
Light-mantled Albatross,Phoebetria palpebrata
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos
Indian Yellow-nosed Albatross,Thalassarche carteri
Gray-headed Albatross,Thalassarche chrysostoma
Buller's Albatross,Thalassarche bulleri
White-capped Albatross,Thalassarche cauta
Salvin's Albatross,Thalassarche salvini
Chatham Albatross,Thalassarche eremita
Black-browed Albatross,Thalassarche melanophris
Wilson's Storm-Petrel,Oceanites oceanicus
Pincoya Storm-Petrel,Oceanites pincoyae
Gray-backed Storm-Petrel,Garrodia nereis
White-faced Storm-Petrel,Pelagodroma marina
White-bellied Storm-Petrel,Fregetta grallaria
Black-bellied Storm-Petrel,Fregetta tropica
European Storm-Petrel,Hydrobates pelagicus
Leach's Storm-Petrel,Hydrobates leucorhous
Southern Giant-Petrel,Macronectes giganteus
Northern Giant-Petrel,Macronectes halli
Southern Fulmar,Fulmarus glacialoides
Antarctic Petrel,Thalassoica antarctica
Pintado Petrel,Daption capense
Kerguelen Petrel,Aphrodroma brevirostris
Great-winged Petrel,Pterodroma macroptera
Gray-faced Petrel,Pterodroma gouldi
Soft-plumaged Petrel,Pterodroma mollis
Barau's Petrel,Pterodroma baraui
White-headed Petrel,Pterodroma lessonii
Atlantic Petrel,Pterodroma incerta
Blue Petrel,Halobaena caerulea
Fairy Prion,Pachyptila turtur
Salvin's Prion,Pachyptila salvini
Antarctic Prion,Pachyptila desolata
Slender-billed Prion,Pachyptila belcheri
Jouanin's Petrel,Bulweria fallax
Tahiti Petrel,Pseudobulweria rostrata
Gray Petrel,Procellaria cinerea
White-chinned Petrel,Procellaria aequinoctialis
Spectacled Petrel,Procellaria conspicillata
Streaked Shearwater,Calonectris leucomelas
Cory's Shearwater,Calonectris borealis
Flesh-footed Shearwater,Ardenna carneipes
Great Shearwater,Ardenna gravis
Wedge-tailed Shearwater,Ardenna pacifica
Sooty Shearwater,Ardenna grisea
Short-tailed Shearwater,Ardenna tenuirostris
Manx Shearwater,Puffinus puffinus
Little Shearwater,Puffinus assimilis
Subantarctic Shearwater,Puffinus elegans
Tropical Shearwater,Puffinus bailloni
Common Diving-Petrel,Pelecanoides urinatrix
South Georgia Diving-Petrel,Pelecanoides georgicus
African Openbill,Anastomus lamelligerus
Black Stork,Ciconia nigra
Abdim's Stork,Ciconia abdimii
African Woolly-necked Stork,Ciconia microscelis
White Stork,Ciconia ciconia
Saddle-billed Stork,Ephippiorhynchus senegalensis
Marabou Stork,Leptoptilos crumenifer
Yellow-billed Stork,Mycteria ibis
Lesser Frigatebird,Fregata ariel
Great Frigatebird,Fregata minor
Cape Gannet,Morus capensis
Australasian Gannet,Morus serrator
Red-footed Booby,Sula sula
Brown Booby,Sula leucogaster
African Darter,Anhinga rufa
Reed Cormorant,Microcarbo africanus
Crowned Cormorant,Microcarbo coronatus
Bank Cormorant,Phalacrocorax neglectus
Cape Cormorant,Phalacrocorax capensis
Great Cormorant,Phalacrocorax carbo
Imperial Cormorant,Leucocarbo atriceps
Glossy Ibis,Plegadis falcinellus
African Sacred Ibis,Threskiornis aethiopicus
Southern Bald Ibis,Geronticus calvus
Hadada Ibis,Bostrychia hagedash
African Spoonbill,Platalea alba
Eurasian Bittern,Botaurus stellaris
Dwarf Bittern,Botaurus sturmii
Little Bittern,Botaurus minutus
Black-crowned Night Heron,Nycticorax nycticorax
Little Blue Heron,Egretta caerulea
Slaty Egret,Egretta vinaceigula
Black Heron,Egretta ardesiaca
Snowy Egret,Egretta thula
Little Egret,Egretta garzetta
White-backed Night Heron,Calherodius leuconotus
Little Heron,Butorides atricapilla
Rufous-bellied Heron,Ardeola rufiventris
Squacco Heron,Ardeola ralloides
Malagasy Pond-Heron,Ardeola idae
Western Cattle-Egret,Ardea ibis
Great Egret,Ardea alba
Yellow-billed Egret,Ardea brachyrhyncha
Gray Heron,Ardea cinerea
Purple Heron,Ardea purpurea
Gray x Purple Heron (hybrid),Ardea cinerea x purpurea
Black-headed Heron,Ardea melanocephala
Goliath Heron,Ardea goliath
Hamerkop,Scopus umbretta
Great White Pelican,Pelecanus onocrotalus
Pink-backed Pelican,Pelecanus rufescens
Secretarybird,Sagittarius serpentarius
Osprey,Pandion haliaetus
Black-winged Kite,Elanus caeruleus
African Harrier-Hawk,Polyboroides typus
Palm-nut Vulture,Gypohierax angolensis
Bearded Vulture,Gypaetus barbatus
Egyptian Vulture,Neophron percnopterus
African Cuckoo-Hawk,Aviceda cuculoides
European Honey-buzzard,Pernis apivorus
Oriental Honey-buzzard,Pernis ptilorhynchus
White-headed Vulture,Trigonoceps occipitalis
Lappet-faced Vulture,Torgos tracheliotos
Hooded Vulture,Necrosyrtes monachus
White-backed Vulture,Gyps africanus
Cape Griffon,Gyps coprotheres
Rüppell's Griffon,Gyps rueppelli
Bateleur,Terathopius ecaudatus
Southern Banded Snake-Eagle,Circaetus fasciolatus
Black-chested Snake-Eagle,Circaetus pectoralis
Brown Snake-Eagle,Circaetus cinereus
Crowned Eagle,Stephanoaetus coronatus
Martial Eagle,Polemaetus bellicosus
Long-crested Eagle,Lophaetus occipitalis
Lesser Spotted Eagle,Clanga pomarina
Wahlberg's Eagle,Hieraaetus wahlbergi
Ayres's Hawk-Eagle,Hieraaetus ayresii
Booted Eagle,Hieraaetus pennatus
Steppe Eagle,Aquila nipalensis
Tawny Eagle,Aquila rapax
Verreaux's Eagle,Aquila verreauxii
African Hawk-Eagle,Aquila spilogaster
Bat Hawk,Macheiramphus alcinus
Gabar Goshawk,Micronisus gabar
Dark Chanting-Goshawk,Melierax metabates
Pale Chanting-Goshawk,Melierax canorus
Lizard Buzzard,Kaupifalco monogrammicus
African Goshawk,Aerospiza tachiro
Little Sparrowhawk,Tachyspiza minulla
Shikra,Tachyspiza badia
Ovambo Sparrowhawk,Accipiter ovampensis
Rufous-breasted Sparrowhawk,Accipiter rufiventris
Black Goshawk,Astur melanoleucus
Western Marsh Harrier,Circus aeruginosus
African Marsh Harrier,Circus ranivorus
Black Harrier,Circus maurus
Pallid Harrier,Circus macrourus
Montagu's Harrier,Circus pygargus
Black Kite,Milvus migrans
African Fish-Eagle,Icthyophaga vocifer
Red-necked Buzzard,Buteo auguralis
Jackal Buzzard,Buteo rufofuscus
Common Buzzard,Buteo buteo
Forest Buzzard,Buteo trizonatus
Elgin Buzzard (undescribed form),Buteo [undescribed form]
African Grass-Owl,Tyto capensis
Western Barn Owl,Tyto alba
African Scops-Owl,Otus senegalensis
Southern White-faced Owl,Ptilopsis granti
Spotted Eagle-Owl,Bubo africanus
Cape Eagle-Owl,Bubo capensis
Verreaux's Eagle-Owl,Ketupa lactea
Pel's Fishing-Owl,Scotopelia peli
Pearl-spotted Owlet,Glaucidium perlatum
African Barred Owlet,Glaucidium capense
African Wood-Owl,Strix woodfordii
Marsh Owl,Asio capensis
Speckled Mousebird,Colius striatus
White-backed Mousebird,Colius colius
Red-faced Mousebird,Urocolius indicus
Narina Trogon,Apaloderma narina
Common Hoopoe,Upupa epops
Green Woodhoopoe,Phoeniculus purpureus
Common Scimitarbill,Rhinopomastus cyanomelas
Southern Ground-Hornbill,Bucorvus leadbeateri
Crowned Hornbill,Lophoceros alboterminatus
African Gray Hornbill,Lophoceros nasutus
Southern Yellow-billed Hornbill,Tockus leucomelas
Southern Red-billed Hornbill,Tockus rufirostris
Trumpeter Hornbill,Bycanistes bucinator
White-fronted Bee-eater,Merops bullockoides
Little Bee-eater,Merops pusillus
Swallow-tailed Bee-eater,Merops hirundineus
White-throated Bee-eater,Merops albicollis
Blue-cheeked Bee-eater,Merops persicus
Olive Bee-eater,Merops superciliosus
European Bee-eater,Merops apiaster
Northern Carmine Bee-eater,Merops nubicus
Southern Carmine Bee-eater,Merops nubicoides
Half-collared Kingfisher,Alcedo semitorquata
Malachite Kingfisher,Corythornis cristatus
African Pygmy Kingfisher,Ispidina picta
Gray-headed Kingfisher,Halcyon leucocephala
Woodland Kingfisher,Halcyon senegalensis
Mangrove Kingfisher,Halcyon senegaloides
Brown-hooded Kingfisher,Halcyon albiventris
Striped Kingfisher,Halcyon chelicuti
Giant Kingfisher,Megaceryle maxima
Pied Kingfisher,Ceryle rudis
European Roller,Coracias garrulus
Lilac-breasted Roller,Coracias caudatus
Racket-tailed Roller,Coracias spatulatus
Purple Roller,Coracias naevius
Broad-billed Roller,Eurystomus glaucurus
Crested Barbet,Trachyphonus vaillantii
Green Barbet,Cryptolybia olivacea
White-eared Barbet,Stactolaema leucotis
Yellow-rumped Tinkerbird,Pogoniulus bilineatus
Southern Red-fronted Tinkerbird,Pogoniulus pusillus
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus
Pied Barbet,Tricholaema leucomelas
Black-collared Barbet,Lybius torquatus
Brown-backed Honeybird,Prodotiscus regulus
Lesser Honeyguide,Indicator minor
Scaly-throated Honeyguide,Indicator variegatus
Greater Honeyguide,Indicator indicator
Red-throated Wryneck,Jynx ruficollis
Bearded Woodpecker,Chloropicus namaquus
Cardinal Woodpecker,Dendropicos fuscescens
Olive Woodpecker,Dendropicos griseocephalus
Ground Woodpecker,Geocolaptes olivaceus
Bennett's Woodpecker,Campethera bennettii
Knysna Woodpecker,Campethera notata
Golden-tailed Woodpecker,Campethera abingoni
Pygmy Falcon,Polihierax semitorquatus
Lesser Kestrel,Falco naumanni
Rock Kestrel,Falco rupicolus
Greater Kestrel,Falco rupicoloides
Dickinson's Kestrel,Falco dickinsoni
Red-necked Falcon,Falco chicquera
Red-footed Falcon,Falco vespertinus
Amur Falcon,Falco amurensis
Eleonora's Falcon,Falco eleonorae
Sooty Falcon,Falco concolor
Eurasian Hobby,Falco subbuteo
African Hobby,Falco cuvierii
Lanner Falcon,Falco biarmicus
Peregrine Falcon,Falco peregrinus
Taita Falcon,Falco fasciinucha
Cockatiel,Nymphicus hollandicus
Yellow-crested Cockatoo,Cacatua sulphurea
Rose-ringed Parakeet,Psittacula krameri
Turquoise Parrot,Neophema pulchella
Eastern Rosella,Platycercus eximius
Budgerigar,Melopsittacus undulatus
Rosy-faced Lovebird,Agapornis roseicollis
Fischer's Lovebird,Agapornis fischeri
Yellow-collared Lovebird,Agapornis personatus
Lilian's Lovebird,Agapornis lilianae
Brown-necked Parrot,Poicephalus fuscicollis
Cape Parrot,Poicephalus robustus
Meyer's Parrot,Poicephalus meyeri
Brown-headed Parrot,Poicephalus cryptoxanthus
African Broadbill,Smithornis capensis
Gray Cuckooshrike,Ceblepyris caesius
White-breasted Cuckooshrike,Ceblepyris pectoralis
Black Cuckooshrike,Campephaga flava
Eurasian Golden Oriole,Oriolus oriolus
African Golden Oriole,Oriolus auratus
African Black-headed Oriole,Oriolus larvatus
Black-throated Wattle-eye,Platysteira peltata
Cape Batis,Batis capensis
Woodwards' Batis,Batis fratrum
Chinspot Batis,Batis molitor
Pririt Batis,Batis pririt
White-crested Helmetshrike,Prionops plumatus
Retz's Helmetshrike,Prionops retzii
Brubru,Nilaus afer
Black-backed Puffback,Dryoscopus cubla
Black-crowned Tchagra,Tchagra senegalus
Brown-crowned Tchagra,Tchagra australis
Southern Tchagra,Tchagra tchagra
Tropical Boubou,Laniarius major
Southern Boubou,Laniarius ferrugineus
Crimson-breasted Gonolek,Laniarius atrococcineus
Bokmakierie,Telophorus zeylonus
Four-colored Bushshrike,Telophorus viridis
Sulphur-breasted Bushshrike,Chlorophoneus sulfureopectus
Olive Bushshrike,Chlorophoneus olivaceus
Black-fronted Bushshrike,Chlorophoneus nigrifrons
Gray-headed Bushshrike,Malaconotus blanchoti
Square-tailed Drongo,Dicrurus ludwigii
Fork-tailed Drongo,Dicrurus adsimilis
African Crested Flycatcher,Trochocercus cyanomelas
African Paradise-Flycatcher,Terpsiphone viridis
Magpie Shrike,Urolestes melanoleucus
Red-backed Shrike,Lanius collurio
Red-tailed Shrike,Lanius phoenicuroides
Red-backed x Red-tailed Shrike (hybrid),Lanius collurio x phoenicuroides
Lesser Gray Shrike,Lanius minor
Southern Fiscal,Lanius collaris
White-crowned Shrike,Eurocephalus anguitimens
House Crow,Corvus splendens
Cape Crow,Corvus capensis
Pied Crow,Corvus albus
White-necked Raven,Corvus albicollis
Cape Rockjumper,Chaetops frenatus
Drakensberg Rockjumper,Chaetops aurantius
