common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors	common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors
Black-browed Albatross	Thalassarche melanophris	Swartrugalbatros (-malmok)	https://birda.twic.pics/species/5c010079-c4b9-4f03-b25f-d62fc3721b84/reference_images/Black-browed_Albatross-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/YYMEPEMBFR/XC952602-Albatross_Bla-bro_West_Pt_Flklnds.mp3	Albatrosses	Very Large	Marine	['White', 'Black', 'Yellow']	Black-browed Albatross	Thalassarche melanophris	Swartrugalbatros (-malmok)	https://birda.twic.pics/species/5c010079-c4b9-4f03-b25f-d62fc3721b84/reference_images/Black-browed_Albatross-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/YYMEPEMBFR/XC952602-Albatross_Bla-bro_West_Pt_Flklnds.mp3	Albatrosses	Very Large	Marine	['White', 'Black', 'Yellow']
Black-chested Prinia	Prinia flavicans	Swartbandlangstertjie	https://birda.twic.pics/species/c82d55db-77be-45cb-a988-6a233f860471/reference_images/Black-chested_Prinia-_Breeding.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059213-MixPre-971_Prinia-flavicans_YB.mp3	Prinias	Tiny	Fynbos	['Brown', 'Black', 'White']	Black-chested Prinia	Prinia flavicans	Swartbandlangstertjie	https://birda.twic.pics/species/c82d55db-77be-45cb-a988-6a233f860471/reference_images/Black-chested_Prinia-_Breeding.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059213-MixPre-971_Prinia-flavicans_YB.mp3	Prinias	Tiny	Fynbos	['Brown', 'Black', 'White']
Black-chested Snake Eagle	Circaetus pectoralis	Swartborsslangarend	https://birda.twic.pics/species/88ae6a01-8a09-4e55-919b-24079b9e8a47/reference_images/Black-chested_Snake_Eagle-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/IMSJENLAJS/black-chested_snake-eagle_%28juvenile_Awash_NP_Ethiopia%29.mp3	Snake-Eagles	Very Large	Woodland	['Brown', 'White', 'Black']	Black-chested Snake Eagle	Circaetus pectoralis	Swartborsslangarend	https://birda.twic.pics/species/88ae6a01-8a09-4e55-919b-24079b9e8a47/reference_images/Black-chested_Snake_Eagle-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/IMSJENLAJS/black-chested_snake-eagle_%28juvenile_Awash_NP_Ethiopia%29.mp3	Snake-Eagles	Very Large	Woodland	['Brown', 'White', 'Black']
Black-collared Barbet	Lybius torquatus	Rooikophoutkapper	https://birda.twic.pics/species/ecd51f7d-78f8-4246-b1e4-7359b13ab704/reference_images/Black-collared_Barbet_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1010535-20240224_KNP_NSerpa_XA60_A003C007_240224RL_CANON_SLE_1kHzHP_-3dBNORM_Barbet.mp3	Barbets	Medium	Grassland	['Red', 'Black', 'Yellow']	Black-collared Barbet	Lybius torquatus	Rooikophoutkapper	https://birda.twic.pics/species/ecd51f7d-78f8-4246-b1e4-7359b13ab704/reference_images/Black-collared_Barbet_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1010535-20240224_KNP_NSerpa_XA60_A003C007_240224RL_CANON_SLE_1kHzHP_-3dBNORM_Barbet.mp3	Barbets	Medium	Grassland	['Red', 'Black', 'Yellow']
Black-crowned Night Heron	Nycticorax nycticorax	Gewone Nagreier	https://cdn.sabirds.app/black-crowned-tchagra/1_medium.webp	https://xeno-canto.org/sounds/uploaded/DMQLDFORTG/XC1073125-NYCnyc_CanalVell_25set2025_RD.mp3	Herons	Large	Wetland	['Grey', 'Black', 'White']	Black-crowned Night Heron	Nycticorax nycticorax	Gewone Nagreier	https://cdn.sabirds.app/black-crowned-tchagra/1_medium.webp	https://xeno-canto.org/sounds/uploaded/DMQLDFORTG/XC1073125-NYCnyc_CanalVell_25set2025_RD.mp3	Herons	Large	Wetland	['Grey', 'Black', 'White']
Black-crowned Tchagra	Tchagra senegalus	Swartkroontjagra	https://birda.twic.pics/species/b8a37a85-3448-4e1d-b0ed-ca5bc70422f2/reference_images/Black-crowned_Tchagra.jpg	https://xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC1041497-Tchagra_senegalensis_nom-FL-song-Rd-N-from-Dindefelo-Senegal-30Jan24-17.42pm-LS119593a.mp3	Tchagras	Medium	Fynbos	['Brown', 'Black', 'White']	Black-crowned Tchagra	Tchagra senegalus	Swartkroontjagra	https://birda.twic.pics/species/b8a37a85-3448-4e1d-b0ed-ca5bc70422f2/reference_images/Black-crowned_Tchagra.jpg	https://xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC1041497-Tchagra_senegalensis_nom-FL-song-Rd-N-from-Dindefelo-Senegal-30Jan24-17.42pm-LS119593a.mp3	Tchagras	Medium	Fynbos	['Brown', 'Black', 'White']
Black-eared Sparrow- Lark	Eremopterix australis	Swartoorlewerik	https://cdn.sabirds.app/black-faced-waxbill/1_medium.webp	https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC292032-Black-eared%20Sparrow-lark2015-10-12-1.mp3	Larks	Tiny	Grassland	['Black', 'Red']	Black-eared Sparrow- Lark	Eremopterix australis	Swartoorlewerik	https://cdn.sabirds.app/black-faced-waxbill/1_medium.webp	https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC292032-Black-eared%20Sparrow-lark2015-10-12-1.mp3	Larks	Tiny	Grassland	['Black', 'Red']
Black-faced Waxbill	Brunhilda erythronotos	Swartwangsysie	https://birda.twic.pics/species/14576eaa-50fd-40f8-bebb-a68424646bcd/reference_images/Black-faced_Waxbill.jpg	https://xeno-canto.org/sounds/uploaded/LWQXRZHFCU/XC314017-2016-04-26_11-44_01-BF-Waxbill.mp3	Waxbills	Tiny	Woodland	['Grey', 'Black', 'Pink']	Black-faced Waxbill	Brunhilda erythronotos	Swartwangsysie	https://birda.twic.pics/species/14576eaa-50fd-40f8-bebb-a68424646bcd/reference_images/Black-faced_Waxbill.jpg	https://xeno-canto.org/sounds/uploaded/LWQXRZHFCU/XC314017-2016-04-26_11-44_01-BF-Waxbill.mp3	Waxbills	Tiny	Woodland	['Grey', 'Black', 'Pink']
Black-fronted Bushshrike	Chlorophoneus nigrifrons	Swartoogboslaksman	https://cdn.sabirds.app/black-headed-canary/1_medium.webp	https://xeno-canto.org/sounds/uploaded/KHGERYPVPK/XC460661-20190105_044328_Black-fronted_Bushshrike.mp3	Bush-shrikes	Small	Forest	['Green', 'Black', 'Yellow']	Black-fronted Bushshrike	Chlorophoneus nigrifrons	Swartoogboslaksman	https://cdn.sabirds.app/black-headed-canary/1_medium.webp	https://xeno-canto.org/sounds/uploaded/KHGERYPVPK/XC460661-20190105_044328_Black-fronted_Bushshrike.mp3	Bush-shrikes	Small	Forest	['Green', 'Black', 'Yellow']
Black-headed Canary	Serinus alario	Swartkopkanarie	https://birda.twic.pics/species/878f4e4f-1308-4031-a530-4901a67185b5/reference_images/Black-headed_Canary.jpg	https://xeno-canto.org/sounds/uploaded/YNRAJPRZMT/XC383512-BH%20Canary%202013-01-15%201514%20pf%20song.mp3	Canaries	Tiny	Fynbos	['Black', 'Yellow', 'White']	Black-headed Canary	Serinus alario	Swartkopkanarie	https://birda.twic.pics/species/878f4e4f-1308-4031-a530-4901a67185b5/reference_images/Black-headed_Canary.jpg	https://xeno-canto.org/sounds/uploaded/YNRAJPRZMT/XC383512-BH%20Canary%202013-01-15%201514%20pf%20song.mp3	Canaries	Tiny	Fynbos	['Black', 'Yellow', 'White']
Black-headed Gull	Chroicocephalus ridibundus	Swartkopmeeu	https://birda.twic.pics/species/ef1385ae-fcba-49a5-bfb9-90b92851d927/reference_images/Black-naped_Tern.jpg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1033327-Black-headed-Gull-call-very-good-2015-06-09-Burton-Mere-RSPB_16h10m30s09jun2015_edited.mp3	Gulls	Medium	Coastal	['Brown', 'White', 'Grey', 'Red']	Black-headed Gull	Chroicocephalus ridibundus	Swartkopmeeu	https://birda.twic.pics/species/ef1385ae-fcba-49a5-bfb9-90b92851d927/reference_images/Black-naped_Tern.jpg	https://xeno-canto.org/sounds/uploaded/AYKHDFBYIH/XC1033327-Black-headed-Gull-call-very-good-2015-06-09-Burton-Mere-RSPB_16h10m30s09jun2015_edited.mp3	Gulls	Medium	Coastal	['Brown', 'White', 'Grey', 'Red']
Black-headed Heron	Ardea melanocephala	Swartkopreier	https://birda.twic.pics/species/0bea2034-8e79-4e04-bcfa-3ea5286ec274/reference_images/Black-headed_Heron_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC947948-LS_58865-Black-headed-Heron-colony-calls-A.mp3	Herons	Very Large	Wetland	['Grey', 'Black', 'White']	Black-headed Heron	Ardea melanocephala	Swartkopreier	https://birda.twic.pics/species/0bea2034-8e79-4e04-bcfa-3ea5286ec274/reference_images/Black-headed_Heron_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC947948-LS_58865-Black-headed-Heron-colony-calls-A.mp3	Herons	Very Large	Wetland	['Grey', 'Black', 'White']
Black-headed Oriole	Oriolus larvatus	Swartkopwielewaal	https://birda.twic.pics/species/16031a70-0e1e-4899-91b0-6abf50e6008b/reference_images/Black-headed_Oriole.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1059591-20250926_DBN_RProbert_120556_SLE_250HzHP_-3dBNORM_comb_Oriole.mp3	Orioles	Medium	Woodland	['Yellow', 'Black', 'Green']	Black-headed Oriole	Oriolus larvatus	Swartkopwielewaal	https://birda.twic.pics/species/16031a70-0e1e-4899-91b0-6abf50e6008b/reference_images/Black-headed_Oriole.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1059591-20250926_DBN_RProbert_120556_SLE_250HzHP_-3dBNORM_comb_Oriole.mp3	Orioles	Medium	Woodland	['Yellow', 'Black', 'Green']
Black-legged Kittiwake	Rissa tridactyla	Swartpootbrandervoël	https://cdn.sabirds.app/black-naped-tern/1_medium.webp	https://xeno-canto.org/sounds/uploaded/YKITMEIRRE/XC1070628-160403-Ridefjeld-03-Hornoya.mp3	Gulls & Terns	Large	Marine	['Grey', 'White', 'Black']	Black-legged Kittiwake	Rissa tridactyla	Swartpootbrandervoël	https://cdn.sabirds.app/black-naped-tern/1_medium.webp	https://xeno-canto.org/sounds/uploaded/YKITMEIRRE/XC1070628-160403-Ridefjeld-03-Hornoya.mp3	Gulls & Terns	Large	Marine	['Grey', 'White', 'Black']
Black-naped Tern	Sterna sumatrana	Swartneksterretjie	https://birda.twic.pics/species/0b99f4f9-2794-48b0-b6ce-dcbf0f1dbe1c/reference_images/Black_Skimmer.jpg	https://xeno-canto.org/sounds/uploaded/OZCRTAPOPC/XC1026343-黑枕燕鸥鸣叫不错.mp3	Terns	Medium	Marine	['Black', 'White', 'Grey']	Black-naped Tern	Sterna sumatrana	Swartneksterretjie	https://birda.twic.pics/species/0b99f4f9-2794-48b0-b6ce-dcbf0f1dbe1c/reference_images/Black_Skimmer.jpg	https://xeno-canto.org/sounds/uploaded/OZCRTAPOPC/XC1026343-黑枕燕鸥鸣叫不错.mp3	Terns	Medium	Marine	['Black', 'White', 'Grey']
Black-necked Grebe	Podiceps nigricollis	Swartnekdobbertjie	https://birda.twic.pics/species/d27815d3-7385-4be8-8c2f-327d4f072b89/reference_images/Great_Crested_Grebe.jpg	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC989584-Grèbe-à-cou-noir-cris-et-chants-+-4.mp3	Grebes	Large	Wetland	['Black', 'Brown', 'Red']	Black-necked Grebe	Podiceps nigricollis	Swartnekdobbertjie	https://birda.twic.pics/species/d27815d3-7385-4be8-8c2f-327d4f072b89/reference_images/Great_Crested_Grebe.jpg	https://xeno-canto.org/sounds/uploaded/SDPCHKOHRH/XC989584-Grèbe-à-cou-noir-cris-et-chants-+-4.mp3	Grebes	Large	Wetland	['Black', 'Brown', 'Red']
Black-rumped Buttonquail	Turnix nanus	Swartrugkwarteltjie	https://cdn.sabirds.app/black-tailed-godwit/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC280799-LS_56257%20Black-rumped%20Buttonquail%20song%20C.mp3	Buttonquails	Medium	Grassland	['Black']	Black-rumped Buttonquail	Turnix nanus	Swartrugkwarteltjie	https://cdn.sabirds.app/black-tailed-godwit/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC280799-LS_56257%20Black-rumped%20Buttonquail%20song%20C.mp3	Buttonquails	Medium	Grassland	['Black']
Black-tailed Godwit	Limosa limosa	Swartstertgriet	https://birda.twic.pics/species/5a4bda0e-9330-4a64-b512-10d78259b7ba/reference_images/Black-tailed_Godwit.jpg	https://xeno-canto.org/sounds/uploaded/WBZVBDKAUE/XC1070956-blacktailgodtac.mp3	Godwits	Large	Wetland	['Brown', 'White', 'Black']	Black-tailed Godwit	Limosa limosa	Swartstertgriet	https://birda.twic.pics/species/5a4bda0e-9330-4a64-b512-10d78259b7ba/reference_images/Black-tailed_Godwit.jpg	https://xeno-canto.org/sounds/uploaded/WBZVBDKAUE/XC1070956-blacktailgodtac.mp3	Godwits	Large	Wetland	['Brown', 'White', 'Black']
Black-throated Canary	Crithagra atrogularis	Bergkanarie	https://birda.twic.pics/species/b5d0970b-fa18-4db5-b390-9afa140b8d97/reference_images/Black-throated_Canary.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059191-MixPre-941_Crithagra-atrogularis_YB.mp3	Canaries	Tiny	Woodland	['Yellow', 'Black', 'Brown']	Black-throated Canary	Crithagra atrogularis	Bergkanarie	https://birda.twic.pics/species/b5d0970b-fa18-4db5-b390-9afa140b8d97/reference_images/Black-throated_Canary.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059191-MixPre-941_Crithagra-atrogularis_YB.mp3	Canaries	Tiny	Woodland	['Yellow', 'Black', 'Brown']
Black-throated Wattle-eye	Platysteira peltata	Beloogbosbontrokkie	https://cdn.sabirds.app/black-winged-kite/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC872306-black-throated-wattle-eye-%28song%29-NtandaCottage%2CChingola%2CZAMBIA_20240106_070940_01.mp3	Wattle-eyes	Tiny	Forest	['Black', 'White', 'Red']	Black-throated Wattle-eye	Platysteira peltata	Beloogbosbontrokkie	https://cdn.sabirds.app/black-winged-kite/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC872306-black-throated-wattle-eye-%28song%29-NtandaCottage%2CChingola%2CZAMBIA_20240106_070940_01.mp3	Wattle-eyes	Tiny	Forest	['Black', 'White', 'Red']
Black-winged Kite	Elanus caeruleus	Blouvalk	https://birda.twic.pics/species/f4c732af-27cd-4c4f-9db5-20ad491d6c8f/reference_images/Black-winged_Kite_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/DXYUSANLSN/XC352477-elanus%20caeruleus%2023%20jines%2013-01-2017.mp3	Kites	Large	Grassland	['Black', 'Brown', 'White']	Black-winged Kite	Elanus caeruleus	Blouvalk	https://birda.twic.pics/species/f4c732af-27cd-4c4f-9db5-20ad491d6c8f/reference_images/Black-winged_Kite_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/DXYUSANLSN/XC352477-elanus%20caeruleus%2023%20jines%2013-01-2017.mp3	Kites	Large	Grassland	['Black', 'Brown', 'White']
Black-winged Lapwing	Vanellus melanopterus	Grootswartvlerkkiewiet	https://birda.twic.pics/species/f5501f26-d2e5-48e9-b435-bc70e7675489/reference_images/Black-winged_Lapwing.jpg	https://xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC517498-Vanellus_melanopterus_minor-FL%20song%20call%20Wakkerstroom%20Lark%20Loop%202Oct19%2011.44am%20LS115327a.mp3	Lapwings	Medium	Grassland	['Brown', 'Black', 'White']	Black-winged Lapwing	Vanellus melanopterus	Grootswartvlerkkiewiet	https://birda.twic.pics/species/f5501f26-d2e5-48e9-b435-bc70e7675489/reference_images/Black-winged_Lapwing.jpg	https://xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC517498-Vanellus_melanopterus_minor-FL%20song%20call%20Wakkerstroom%20Lark%20Loop%202Oct19%2011.44am%20LS115327a.mp3	Lapwings	Medium	Grassland	['Brown', 'Black', 'White']
Black-winged Pratincole	Glareola nordmanni	Swartvlerksprinkaanvoël	https://birda.twic.pics/species/93adb679-203a-481e-a0b1-60a770b9aa71/reference_images/Bronze-winged_Courser.jpg	https://xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC1031152-Glareola_nordmanni-FL-flight-Lake-W-of-Terektisor-Lake-23May25-7.12am-LS110442a.mp3	Pratincoles	Medium	Grassland	['Brown', 'Black', 'White']	Black-winged Pratincole	Glareola nordmanni	Swartvlerksprinkaanvoël	https://birda.twic.pics/species/93adb679-203a-481e-a0b1-60a770b9aa71/reference_images/Bronze-winged_Courser.jpg	https://xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC1031152-Glareola_nordmanni-FL-flight-Lake-W-of-Terektisor-Lake-23May25-7.12am-LS110442a.mp3	Pratincoles	Medium	Grassland	['Brown', 'Black', 'White']
Black-winged Stilt	Himantopus himantopus	Rooipootelsie	https://birda.twic.pics/species/76a202c5-00f3-4367-ba7b-cf5e442cb9bf/reference_images/Black-winged_Stilt_-_Male.jpg	https://xeno-canto.org/sounds/uploaded/PRVFBYIQYZ/XC1074232-himantopus-himantopus-10-lucio-del-lobo-24-05-2025.mp3	Stilts	Medium	Wetland	['Black', 'White', 'Pink']	Black-winged Stilt	Himantopus himantopus	Rooipootelsie	https://birda.twic.pics/species/76a202c5-00f3-4367-ba7b-cf5e442cb9bf/reference_images/Black-winged_Stilt_-_Male.jpg	https://xeno-canto.org/sounds/uploaded/PRVFBYIQYZ/XC1074232-himantopus-himantopus-10-lucio-del-lobo-24-05-2025.mp3	Stilts	Medium	Wetland	['Black', 'White', 'Pink']
Blacksmith Lapwing	Vanellus armatus	Bontkiewiet	https://birda.twic.pics/species/e15a9593-d16b-449d-abd4-84d493061aa1/reference_images/Blacksmith_Lapwing_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/QXGZDUUJUO/XC1072680-Blacksmith-lapwing-Cape-town-260114-181832_Tr1-Blacksmith-lapwing.mp3	Lapwings	Medium	Wetland	['Black', 'White', 'Grey']	Blacksmith Lapwing	Vanellus armatus	Bontkiewiet	https://birda.twic.pics/species/e15a9593-d16b-449d-abd4-84d493061aa1/reference_images/Blacksmith_Lapwing_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/QXGZDUUJUO/XC1072680-Blacksmith-lapwing-Cape-town-260114-181832_Tr1-Blacksmith-lapwing.mp3	Lapwings	Medium	Wetland	['Black', 'White', 'Grey']
Blue Crane	Grus paradisea	Bloukraanvoël	https://birda.twic.pics/species/65bcd4df-a06d-4425-8d58-c23eb3640e6e/reference_images/Grey_Crowned_Crane.jpg	https://xeno-canto.org/sounds/uploaded/RANUPRSOEW/XC1047513-Crane%2C-Blue_Oewerzicht%2C-Greyton-04-10-25.mp3	Cranes	Very Large	Wetland	['Blue', 'Grey', 'White']	Blue Crane	Grus paradisea	Bloukraanvoël	https://birda.twic.pics/species/65bcd4df-a06d-4425-8d58-c23eb3640e6e/reference_images/Grey_Crowned_Crane.jpg	https://xeno-canto.org/sounds/uploaded/RANUPRSOEW/XC1047513-Crane%2C-Blue_Oewerzicht%2C-Greyton-04-10-25.mp3	Cranes	Very Large	Wetland	['Blue', 'Grey', 'White']
Blue Korhaan	Eupodotis caerulescens	Bloukorhaan	https://cdn.sabirds.app/blue-petrel/1_medium.webp	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC1050803-bkhaan.mp3	Bustards	Very Large	Grassland	['Blue', 'Grey', 'Black']	Blue Korhaan	Eupodotis caerulescens	Bloukorhaan	https://cdn.sabirds.app/blue-petrel/1_medium.webp	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC1050803-bkhaan.mp3	Bustards	Very Large	Grassland	['Blue', 'Grey', 'Black']
Blue Petrel	Halobaena caerulea	Bloustormvoël	https://cdn.sabirds.app/blue-quail/1_medium.webp	https://xeno-canto.org/sounds/uploaded/RDBQTCTEUE/XC863029-Pétrel-bleu_poussin_nid_Val_KERGUELEN_MAYES_29.12.2021.mp3	Petrels	Medium	Marine	['Blue', 'Grey', 'Brown', 'White']	Blue Petrel	Halobaena caerulea	Bloustormvoël	https://cdn.sabirds.app/blue-quail/1_medium.webp	https://xeno-canto.org/sounds/uploaded/RDBQTCTEUE/XC863029-Pétrel-bleu_poussin_nid_Val_KERGUELEN_MAYES_29.12.2021.mp3	Petrels	Medium	Marine	['Blue', 'Grey', 'Brown', 'White']
Blue Quail	Synoicus adansonii	Bloukwartel	https://cdn.sabirds.app/blue-swallow/1_medium.webp	no audio found	Quails	Small	Grassland	['Blue', 'Brown', 'Black']	Blue Quail	Synoicus adansonii	Bloukwartel	https://cdn.sabirds.app/blue-swallow/1_medium.webp	no audio found	Quails	Small	Grassland	['Blue', 'Brown', 'Black']
Blue Swallow	Hirundo atrocaerulea	Blouswael	https://cdn.sabirds.app/blue-waxbill/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC963300-blue-swallow-%28song%29-ChimanimaniNP%2CZIM_20240927_144627.mp3	Swallows	Tiny	Grassland	['Blue', 'White', 'Orange']	Blue Swallow	Hirundo atrocaerulea	Blouswael	https://cdn.sabirds.app/blue-waxbill/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC963300-blue-swallow-%28song%29-ChimanimaniNP%2CZIM_20240927_144627.mp3	Swallows	Tiny	Grassland	['Blue', 'White', 'Orange']
Blue Waxbill	Uraeginthus angolensis	Gewone Blousysie	https://birda.twic.pics/species/586824b1-764a-4d38-ac21-043cad8977b4/reference_images/Blue_Waxbill.jpg	https://xeno-canto.org/sounds/uploaded/QUBGGKWQNN/XC1027542-250801_1416BlueWaxbill_Xanadu%21Aug25.mp3	Waxbills	Tiny	Woodland	['Blue', 'Brown', 'Pink']	Blue Waxbill	Uraeginthus angolensis	Gewone Blousysie	https://birda.twic.pics/species/586824b1-764a-4d38-ac21-043cad8977b4/reference_images/Blue_Waxbill.jpg	https://xeno-canto.org/sounds/uploaded/QUBGGKWQNN/XC1027542-250801_1416BlueWaxbill_Xanadu%21Aug25.mp3	Waxbills	Tiny	Woodland	['Blue', 'Brown', 'Pink']
Blue-billed Teal	Spatula hottentota	Gevlekte Eend	https://birda.twic.pics/species/d5e33328-4320-4bfa-83f8-050b14bd0478/reference_images/Blue-billed_Teal-_Swimming.jpg	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC510396-LS_55053%20Hottentot%20Teal%20call%20A.mp3	Ducks	Large	Wetland	['Blue', 'Brown', 'Green', 'White']	Blue-billed Teal	Spatula hottentota	Gevlekte Eend	https://birda.twic.pics/species/d5e33328-4320-4bfa-83f8-050b14bd0478/reference_images/Blue-billed_Teal-_Swimming.jpg	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC510396-LS_55053%20Hottentot%20Teal%20call%20A.mp3	Ducks	Large	Wetland	['Blue', 'Brown', 'Green', 'White']
Blue-cheeked Bee-eater	Merops persicus	Blouwangbyvreter	https://birda.twic.pics/species/5ed22609-a1f8-4e78-8520-943681f125db/reference_images/Blue-cheeked_Bee-eater.jpg	https://xeno-canto.org/sounds/uploaded/YPDXKAZUZN/XC1071542-Guepier-de-perse-cris-07042025---Jahra-Pool---Koweit.mp3	Bee-eaters	Small	Karoo	['Green', 'Blue', 'Orange']	Blue-cheeked Bee-eater	Merops persicus	Blouwangbyvreter	https://birda.twic.pics/species/5ed22609-a1f8-4e78-8520-943681f125db/reference_images/Blue-cheeked_Bee-eater.jpg	https://xeno-canto.org/sounds/uploaded/YPDXKAZUZN/XC1071542-Guepier-de-perse-cris-07042025---Jahra-Pool---Koweit.mp3	Bee-eaters	Small	Karoo	['Green', 'Blue', 'Orange']
Blue-mantled Crested Flycatcher	Trochocercus cyanomelas	Bloukuifvlieëvanger	https://cdn.sabirds.app/blue-spotted-wood-dove/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC963335-blue-mantled-crested-flycatcher-%28song%29-Aberfoyl%2CHonde%2CZIM_20240916_080453.mp3	Flycatchers	Tiny	Forest	['Blue', 'Black', 'White']	Blue-mantled Crested Flycatcher	Trochocercus cyanomelas	Bloukuifvlieëvanger	https://cdn.sabirds.app/blue-spotted-wood-dove/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC963335-blue-mantled-crested-flycatcher-%28song%29-Aberfoyl%2CHonde%2CZIM_20240916_080453.mp3	Flycatchers	Tiny	Forest	['Blue', 'Black', 'White']
Blue-spotted Wood Dove	Turtur afer	Blouvlekduifie	https://birda.twic.pics/species/2be33b03-bf77-4c12-8add-468d7de54c2b/reference_images/Blue-spotted_Wood_Dove.jpg	https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/XC1052661-029-Tourterelle-ametystine260123_0237-.mp3	Doves	Medium	Fynbos	['Brown', 'Blue', 'Purple']	Blue-spotted Wood Dove	Turtur afer	Blouvlekduifie	https://birda.twic.pics/species/2be33b03-bf77-4c12-8add-468d7de54c2b/reference_images/Blue-spotted_Wood_Dove.jpg	https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/XC1052661-029-Tourterelle-ametystine260123_0237-.mp3	Doves	Medium	Fynbos	['Brown', 'Blue', 'Purple']
Bokmakierie	Telophorus zeylonus	Bokmakierie	https://birda.twic.pics/species/235ce9a9-a02f-4c2d-8613-c615ce76274f/reference_images/Bokmakierie.jpg	https://xeno-canto.org/sounds/uploaded/HMBDEWEZVS/XC522849-4%20Bokm.mp3	Bokmakieries	Medium	Fynbos	['Green', 'Yellow', 'Black']	Bokmakierie	Telophorus zeylonus	Bokmakierie	https://birda.twic.pics/species/235ce9a9-a02f-4c2d-8613-c615ce76274f/reference_images/Bokmakierie.jpg	https://xeno-canto.org/sounds/uploaded/HMBDEWEZVS/XC522849-4%20Bokm.mp3	Bokmakieries	Medium	Fynbos	['Green', 'Yellow', 'Black']
Booted Eagle	Hieraaetus pennatus	Dwergarend	https://birda.twic.pics/species/3a6aa4ec-ab82-4107-9e0c-e2a82ef9f9e1/reference_images/Booted_Eagle-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC1067347-Hieraaetus-pennatus-240613_001%2C%D0%AF%D0%BC%D0%B0%D0%BD%D1%87%D1%83%D1%80%D0%B8%D0%BD%D0%BE%2C%D0%9A%D0%B0%D1%80%D1%8C%D0%B5%D1%80%2C03-50%2C1%21.mp3	Eagles	Large	Forest	['Brown', 'White']	Booted Eagle	Hieraaetus pennatus	Dwergarend	https://birda.twic.pics/species/3a6aa4ec-ab82-4107-9e0c-e2a82ef9f9e1/reference_images/Booted_Eagle-_Flying.jpg	https://xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC1067347-Hieraaetus-pennatus-240613_001%2C%D0%AF%D0%BC%D0%B0%D0%BD%D1%87%D1%83%D1%80%D0%B8%D0%BD%D0%BE%2C%D0%9A%D0%B0%D1%80%D1%8C%D0%B5%D1%80%2C03-50%2C1%21.mp3	Eagles	Large	Forest	['Brown', 'White']
